	name	residence	current_location	company	birthdate	sex	blood_group	race	ssn
33	Andrea Larson	"5159 Penny Crest
West Ernestchester, WA 42753"	(Decimal('12.7932805'), Decimal('7.269104'))	Owen, Jackson and Allison	2002/07/27	F	B+	White	022-37-8219
34	Megan Spencer	"09365 Webster Walk
North Stevenmouth, LA 42597"	(Decimal('48.6572295'), Decimal('-133.608095'))	Little and Sons	15 Nov 2011	F	B-	White	381-87-1410
35	Lauren Anthony	"4070 Smith Trace
South Autumn, LA 91026"	(Decimal('79.2972495'), Decimal('36.335110'))	Brown Group	2018/11/19	F	B+	Hawaiian	231-72-9955
36	Chris Lopez	"27404 Gutierrez Coves
Johnsonborough, MT 10334"	(Decimal('16.8582775'), Decimal('-26.074015'))	Murray-French	23 Jun 1918	M	A-	Hawaiian	110-75-2436
37	Eric Turner	"258 Christian Isle Suite 014
South Amy, PA 62968"	(Decimal('79.1502635'), Decimal('-103.153515'))	Jones Group	1959/07/10	M	O-	Black	651-24-8868
38	Rachel Kim	"4146 Frost Rest
East Brandon, MD 17700"	(Decimal('41.5465565'), Decimal('-107.785729'))	Arnold-Clark	1954/03/27	F	AB-	Asian	284-07-4508
39	Lori Munoz	"5678 Tiffany Brooks Suite 390
Michealview, UT 69734"	(Decimal('0.7693305'), Decimal('-66.191083'))	Gardner-Harrison	08 Jun 1922	F	AB+	White	526-82-1648
40	Wendy Marshall	"46192 Hogan Road Suite 884
Delacruzshire, CA 93312"	(Decimal('-55.4584265'), Decimal('-46.115146'))	Lopez-Frazier	29 Jun 1924	F	A+	White	812-93-8905
41	Tammy Smith	"69450 Justin Cape
Jenningsland, IA 90474"	(Decimal('-55.673572'), Decimal('79.768259'))	Stewart-Hammond	1945-09-27	F	A-	White	452-72-9780
42	Michael Wilson	"Unit 3935 Box 5609
DPO AA 67483"	(Decimal('-81.7756495'), Decimal('83.813168'))	Jones, Martinez and Shaffer	20 Jul 1993	M	AB-	Hawaiian	621-93-2680
43	Charles Benton	"70094 Kristopher Canyon Apt. 237
Jeromefurt, TX 22359"	(Decimal('-18.1234645'), Decimal('106.682339'))	Wilson Inc	07/19/1973, 00:00:00	M	AB+	White	847-03-1740
44	Donna Price	"82473 Monica Skyway Apt. 897
Christopherfort, UT 39955"	(Decimal('1.617200'), Decimal('-57.696078'))	Fox Group	2005-08-09	F	AB+	White	288-10-5073
45	Rachel Pittman	"27253 Ariel Isle Suite 209
South Lisastad, AZ 66467"	(Decimal('55.853708'), Decimal('86.296406'))	Stewart-Evans	19 Aug 1993	F	A+	White	249-94-5940
46	Erin Caldwell	"44653 Matthew Plains Apt. 636
West Kimberlyview, NY 90382"	(Decimal('44.913039'), Decimal('-53.674744'))	Lewis LLC	08/28/1948, 00:00:00	F	A+	white	342-16-5155
47	James Wilson	"2027 Johnson Ridges Suite 659
Wallaceport, AK 04281"	(Decimal('14.9045885'), Decimal('28.750559'))	Chapman, Wright and Green	2006/07/14	M	A+	Asian	820-15-8603
48	Jennifer Hinton	"65642 Joshua Plain
Brianchester, NH 54448"	(Decimal('80.735301'), Decimal('-19.824691'))	Medina-Gutierrez	2017-12-29	F	B-	Black	843-93-1553
49	Maria Randolph	"473 Guzman Avenue
Port Tina, ME 30098"	(Decimal('49.696631'), Decimal('-59.115480'))	Howell and Sons	1992/12/27	F	B+	White	653-79-6327
50	Andrew Weeks	"314 Higgins Curve
New Michaeltown, WV 11196"	(Decimal('8.783458'), Decimal('118.068472'))	Wallace-Freeman	1974-04-16	M	B+	Asian	495-06-4637
51	Samantha Bell	"902 Reeves Way
South Dustinburgh, MD 31262"	(Decimal('-86.7980715'), Decimal('-132.903100'))	White Ltd	2021/06/06	F	AB-	Hawaiian	480-99-3611
52	Dennis Hernandez	"80983 Daniel Club Suite 745
East Michael, MN 67434"	(Decimal('50.143898'), Decimal('-171.632058'))	Mclean-Acevedo	07 Feb 1985	M	AB+	Black	328-13-0002
53	Sharon Wise	"3049 Steven Mills
North Mallory, KY 31349"	(Decimal('79.2122345'), Decimal('93.258892'))	Williams, Jones and Cordova	23 Jun 2009	F	AB+	White	137-26-6872
54	Brandy Haynes	"92106 Cole Forge Apt. 701
Lopezburgh, NY 40713"	(Decimal('-14.6630995'), Decimal('-87.233785'))	Rush, Ross and Hobbs	08/14/1934, 00:00:00	F	A-	Black	045-58-2543
55	Valerie Garcia	"7220 Erica Flat Suite 659
Davisport, GA 70637"	(Decimal('-65.124765'), Decimal('-147.831159'))	Acevedo and Sons	1906-05-25	F	AB+	Asian	896-04-1495
56	Cynthia Bass	"419 Kaiser Light
Seanview, TN 84235"	(Decimal('-3.4725855'), Decimal('-87.920955'))	White, Carey and Tucker	02 Jun 2015	F	O-	White	704-92-9403
57	Elizabeth Roberson	"6001 Hurst Radial Suite 641
Port Samanthachester, DE 50289"	(Decimal('-13.3393185'), Decimal('-116.141622'))	Taylor PLC	1966-04-06	F	B-	White	160-76-7636
58	Robert Lloyd	"PSC 9509, Box 8459
APO AA 46429"	(Decimal('-72.006322'), Decimal('-23.106830'))	Howard-Gates	30 Jul 1941	M	AB-	Asian	308-20-4878
59	Arthur Robinson	"37012 Cobb Meadow Apt. 495
Jenniferland, MD 06604"	(Decimal('26.985691'), Decimal('105.999721'))	Johns, Lopez and James	07/03/1919, 00:00:00	M	B-	White	372-07-2588
60	Julie Hunter	"95208 Williams Ramp
East Mark, NV 61900"	(Decimal('73.7782945'), Decimal('-56.649005'))	Campbell, Ballard and Ellis	11/22/1967, 00:00:00	F	B-	Black	865-89-4897
61	Heather Watson	"373 Simmons Ports
South Richard, IL 63424"	(Decimal('3.2954635'), Decimal('145.402117'))	Todd, Brown and Clark	09 Apr 1916	F	B-	White	153-92-4811
62	April Davis	"648 Dana Key
Newtonton, AL 22403"	(Decimal('74.0782485'), Decimal('-174.170329'))	Whitaker-Pitts	1990/08/14	F	A-	Black	562-26-5178
63	Ralph Johnson	"39672 Johnson Plaza Apt. 999
North Johnport, DE 19932"	(Decimal('31.546750'), Decimal('71.328737'))	Hawkins, Davenport and Harris	1950-08-29	M	O-	White	805-04-3649
64	James Hernandez	"Unit 9938 Box 8484
DPO AA 91891"	(Decimal('-68.515309'), Decimal('86.912771'))	Smith, Coleman and Brown	06 Mar 1936	M	A+	Black	128-30-9523
65	Teresa Jones	"25903 Ronnie Port
Rodgersmouth, OK 26094"	(Decimal('42.684670'), Decimal('118.779854'))	Wilson-Avery	05/10/1926, 00:00:00	F	A-	White	241-62-1264
66	Shawn Johnson	"3759 Watts Junctions Apt. 851
Port Lindaport, AR 69945"	(Decimal('-31.2393255'), Decimal('-71.158907'))	Cole, Medina and Roberts	1989-01-18	M	B-	White	871-07-8581
67	Dr. Kayla Ware	"525 Catherine Flat Suite 333
New Jessica, OR 83232"	(Decimal('-21.2429865'), Decimal('89.049551'))	Johnson PLC	1960-02-09	F	B-	black	260-86-6504
68	Megan Kelly	"470 Davis Junctions Suite 904
Lake James, NH 08464"	(Decimal('-8.123657'), Decimal('102.075017'))	Hicks, Lane and Ray	1969/04/03	F	B+	Black	516-24-8455
69	Oscar Davis	"4392 Lynn Trail
Christophershire, NJ 55997"	(Decimal('8.4788765'), Decimal('-37.907103'))	Miller-Jackson	1981-10-24	M	A+	White	732-29-7366
70	Scott Hanson	"45448 Stephenson Curve Suite 712
North Robin, CT 29114"	(Decimal('-6.952571'), Decimal('-5.266613'))	Lopez-Williams	1909/03/03	M	A+	Asian	808-73-6353
71	Daniel Ward	"96705 Chang Springs
West Robertmouth, KS 98329"	(Decimal('44.054779'), Decimal('-123.356426'))	Powell, Rivera and Jackson	08/24/1945, 00:00:00	M	O-	White	863-46-1100
72	Randall Carpenter	"86481 Theresa Forks Apt. 898
Julieton, ID 98439"	(Decimal('78.6130395'), Decimal('111.194318'))	Atkinson-Blankenship	1934/04/07	M	A+	White	203-07-9583
73	Peggy Walker	"860 Crawford Center
Andreafurt, WY 33766"	(Decimal('71.370306'), Decimal('0.912529'))	Mitchell PLC	20 Dec 1963	F	A+	White	471-55-1822
74	Pamela Barnes	"58081 Aguilar Well
North John, MT 07116"	(Decimal('-5.843318'), Decimal('118.049063'))	Anderson, Walters and Ramirez	1992/10/08	F	AB+	White	166-78-7915
75	Maureen Hernandez	"7916 Billy Cliff Apt. 396
Richardchester, GA 92409"	(Decimal('62.294505'), Decimal('-144.639117'))	Williams, Cannon and Bradley	1972-12-28	F	AB+	Black	455-87-7468
76	Cathy Walker	"6304 Price Place Suite 229
Lucasport, MI 81129"	(Decimal('49.187994'), Decimal('61.406293'))	Shannon, Allison and Steele	1909-07-08	F	A+	White	624-05-5536
77	Chad Williams	"PSC 2513, Box 6471
APO AP 70336"	(Decimal('-32.6689025'), Decimal('-164.731732'))	Martinez, Burke and Lopez	1987-07-12	M	AB-	White	608-12-5757
78	Julie Galloway	"4427 Michele Lodge Suite 090
Dodsonburgh, AZ 45389"	(Decimal('27.961558'), Decimal('-170.939258'))	Powell-Baldwin	1917-01-06	F	A-	Black	668-12-0186
79	Jennifer Gilbert	"557 Angela Isle
North Alexisfort, OR 95034"	(Decimal('-35.8254815'), Decimal('25.595565'))	Figueroa PLC	1946/11/10	F	AB-	White	376-53-8579
80	Lisa Lucas	"239 Villegas Parkway
West Christinaborough, HI 65248"	(Decimal('-58.8394555'), Decimal('141.967859'))	Palmer-Munoz	1926/05/30	F	B-	White	034-48-0148
81	Margaret Olson	"573 Curtis Vista
West Joe, OK 47605"	(Decimal('-67.1470195'), Decimal('80.165385'))	Pearson-Hayes	1913-12-02	F	B+	Black	780-42-5678
82	Taylor Shields	"1015 Elizabeth Square
North Courtneyville, MO 03752"	(Decimal('-87.4269125'), Decimal('-1.898853'))	Collier-Brown	1943-04-10	F	A+	White	032-70-5081
83	Juan Melton	"7722 Norman Divide Suite 986
New Patrick, LA 62282"	(Decimal('-54.939881'), Decimal('-42.176448'))	Daniels Group	1905-12-06	M	B+	blsck	403-62-9429
84	John Glass	"USCGC Carlson
FPO AE 96952"	(Decimal('-85.295166'), Decimal('117.118689'))	Moses and Sons	15 Jul 2011	M	A-	Asian	618-34-2233
85	Robert Carpenter	"239 Miller Port Suite 348
Lake Frankburgh, AZ 60465"	(Decimal('-61.821261'), Decimal('-11.218527'))	Rose, Gill and Hood	1975/12/06	M	O-	White	674-11-0479
86	Brett Mccall	"190 Sharp Union Suite 229
Owensmouth, AL 45621"	(Decimal('-51.9916255'), Decimal('-20.185659'))	Evans-Bruce	1911/07/08	M	A+	White	374-64-8022
87	Jonathan Brown	"3677 Charles Drives
Kennethville, MO 03301"	(Decimal('-5.733468'), Decimal('-63.774291'))	Sanchez, Logan and Knight	09/19/1915, 00:00:00	M	B-	Asian	799-03-7104
88	Matthew Wilson	"825 Thomas Curve Suite 434
Port Kristina, MD 74181"	(Decimal('44.284575'), Decimal('46.517868'))	Donaldson and Sons	1924/12/22	M	B-	White	505-11-9941
89	Anthony Butler	"65267 Thomas Land Apt. 705
Mariahaven, MS 50598"	(Decimal('59.6481365'), Decimal('145.538208'))	Reynolds and Sons	2008-11-08	M	AB+	White	378-09-8352
90	Elizabeth Hays	"USS Mcgee
FPO AE 70744"	(Decimal('-48.556267'), Decimal('40.409842'))	Rivera and Sons	08/08/1997, 00:00:00	F	B-	Asian	287-34-8989
91	Cathy Kline	"777 Shawn Ridge
Cindyfort, RI 29647"	(Decimal('86.3232965'), Decimal('-174.966171'))	Mullins PLC	1965/12/27	F	A-	blsck	576-54-7504
92	Theresa Meyer	"4860 Carla Plaza Suite 650
South Ashley, AL 32974"	(Decimal('19.4818555'), Decimal('-122.198221'))	Richards, Patterson and Grant	1913-03-07	F	AB+	White	344-56-0106
93	Steven Gallagher	"97361 Jason Place Suite 527
Port Madelineberg, NV 33483"	(Decimal('49.067788'), Decimal('17.449498'))	Ibarra PLC	1992-07-22	M	A-	Black	341-67-9837
94	Brian Huff	"540 Johnson Turnpike
East Thomaston, SC 84567"	(Decimal('81.2106025'), Decimal('-166.317819'))	Hill, Barnes and Moyer	2000/03/12	M	AB-	White	037-33-3729
95	Russell Reed	"5912 Garcia Park Apt. 885
Salinasborough, TN 16986"	(Decimal('29.3649585'), Decimal('42.160882'))	Smith-Levine	25 Apr 1982	M	A-	Hawaiian	095-48-6625
96	Maria Whitehead	"3548 Carlson Key
East Vincent, TN 10274"	(Decimal('11.932368'), Decimal('-152.011445'))	White LLC	03 Aug 1934	F	B+	Indian	085-17-5328
97	Wyatt Howard	"5500 Regina Mission
East Jasonville, LA 92400"	(Decimal('39.493310'), Decimal('111.953943'))	Hawkins, Brown and Graham	05/27/1938, 00:00:00	M	A+	Black	461-70-4454
98	Brian Martinez	"Unit 9252 Box 5922
DPO AA 15243"	(Decimal('-25.5932605'), Decimal('-154.190353'))	Molina and Sons	1972/03/09	M	A-	Black	612-01-9024
99	Deborah Hansen	"40992 Cassandra Pike
West Ashley, MO 13801"	(Decimal('76.275718'), Decimal('-76.902074'))	Long, Charles and Moran	2003/11/07	F	AB-	Asian	289-15-1313
100	Mandy Padilla	"862 Alyssa Shores
West Jamesview, AR 19659"	(Decimal('17.6638335'), Decimal('-24.807163'))	Schroeder Inc	10/30/2005, 00:00:00	F	O-	Black	661-14-0680
101	Victoria Williams	"40275 Melanie Pines Suite 442
Theodorechester, HI 85890"	(Decimal('79.191020'), Decimal('-42.153288'))	Anderson, Nelson and Leonard	06 Jun 1923	F	AB+	Hawaiian	049-37-2767
102	Richard Mcgee	"42886 Li Crossing Suite 171
East Davidmouth, SD 34913"	(Decimal('14.8467735'), Decimal('-44.421661'))	Mullins-Duncan	29 Dec 1970	M	AB-	White	585-11-7847
103	Matthew Henry	"966 Carroll Rest Apt. 127
New Amy, NJ 82676"	(Decimal('-23.1804705'), Decimal('106.031237'))	Cooper-Cook	07/24/1957, 00:00:00	M	B+	White	003-13-5793
104	Victoria Davis	"3934 Miller Stravenue
Millertown, NJ 36545"	(Decimal('-27.9417425'), Decimal('-0.634777'))	Mitchell, Roberts and Solomon	06 Sep 1910	F	AB+	White	750-14-2080
105	Rachel Brooks	"0175 Peter Knolls Apt. 894
Morganfurt, NJ 23793"	(Decimal('-40.951194'), Decimal('-158.025137'))	Miller-Hardy	1999-03-09	F	B+	White	457-55-2092
106	Jamie Peters	"86274 James Street Apt. 480
North Dianaborough, ID 00874"	(Decimal('15.266615'), Decimal('38.924023'))	Garrett, Clark and Gill	26 Jun 1980	M	AB-	White	854-17-4648
107	James Castillo	"Unit 1770 Box 5539
DPO AP 47825"	(Decimal('8.672566'), Decimal('-164.133338'))	Deleon-Barnes	1916/08/18	M	B-	Black	042-30-1102
108	Rachael Anderson	"20466 Perkins Meadows
Port Johnbury, AK 02744"	(Decimal('-19.515137'), Decimal('-14.190118'))	Mclaughlin Ltd	08/03/1924, 00:00:00	F	O+	Black	483-33-5134
109	Jennifer Valdez	"523 Phillip Manor
Lake Ashley, MT 43011"	(Decimal('-5.6820795'), Decimal('-90.624992'))	Camacho, Fields and Villanueva	2012-04-12	F	AB+	White	304-63-7271
110	Toni Grant	"34256 Watson Plaza Suite 286
Morrisstad, CA 80334"	(Decimal('-29.430527'), Decimal('-13.098404'))	Hayes-Maddox	1988/11/02	F	O-	Black	032-82-7527
111	Melissa Williams	"USCGC Jones
FPO AE 70366"	(Decimal('-31.122903'), Decimal('15.783853'))	Lloyd, House and Smith	15 Apr 1955	F	O+	White	111-67-3563
112	Jeffrey Bryant	"4824 Cooke Crest
South Hannah, WV 62968"	(Decimal('9.9717205'), Decimal('-77.412127'))	Gibson, Smith and Garcia	11/16/1948, 00:00:00	M	B+	Black	864-59-1009
113	Brent Parker Jr.	"10276 Shane Lake Apt. 053
Stephenview, NV 34815"	(Decimal('38.5399815'), Decimal('-130.355062'))	Harper LLC	1908/03/09	M	A+	White	792-81-4918
114	Julie Shaffer	"399 Garcia Mills Apt. 691
Deanmouth, IL 73742"	(Decimal('-60.2080485'), Decimal('-109.728144'))	Hudson LLC	1910/11/18	F	A+	Hawaiian	730-72-7768
115	Stephen Floyd	"869 Hernandez Common Apt. 884
West Jaredton, WV 64087"	(Decimal('-10.1849045'), Decimal('9.189652'))	Rojas-Sanchez	27 Apr 1937	M	O+	White	847-12-3671
116	Thomas Carson	"651 Nicholas Lake Apt. 856
New Nathan, MI 47343"	(Decimal('-10.0320565'), Decimal('-15.050847'))	Dixon-Bryan	2012-03-24	M	B+	White	070-56-1917
117	Anna Nguyen	"57791 Brenda Wall Suite 096
North Erintown, WI 95371"	(Decimal('0.3149725'), Decimal('-169.605994'))	Howard, Floyd and Walls	12/28/1958, 00:00:00	F	B+	White	403-60-1133
118	Kimberly Martinez	"988 Harper Place Apt. 970
Lake Joyce, VA 02803"	(Decimal('-1.339613'), Decimal('-33.281392'))	Boyd-Hernandez	23 Dec 2014	F	AB-	black	843-95-9289
119	Austin Bennett	"0181 Anthony Parkways Apt. 840
Michelefort, AK 30593"	(Decimal('34.331157'), Decimal('-16.204062'))	Little, Hodge and Martinez	24 May 2018	M	O-	White	301-64-6063
120	Robert Mooney	"Unit 9769 Box 7279
DPO AA 69296"	(Decimal('-11.0383075'), Decimal('94.481832'))	Cowan, Jackson and Turner	1966/11/07	M	A+	White	139-01-1626
121	Jose Fowler	"28685 Mitchell Row
Bakertown, AR 22878"	(Decimal('-76.704457'), Decimal('-47.679618'))	Parker-Mcintosh	1948/03/27	M	AB-	White	146-57-1855
122	Amber White	"Unit 0794 Box 3240
DPO AE 85109"	(Decimal('-79.3592495'), Decimal('26.707548'))	Robinson, Wood and Long	1927/04/26	F	AB+	White	519-74-1255
123	Sara Wallace	"7332 Brown Springs
Watkinsberg, CA 10273"	(Decimal('22.3466785'), Decimal('105.487581'))	Simmons-Green	10 Jan 2007	F	A+	White	034-25-3675
124	Pamela Wiggins	"51565 Evans Shores
New Nicholasmouth, WA 98013"	(Decimal('46.0688515'), Decimal('93.342331'))	Diaz, Richardson and Perkins	1942/09/02	F	B+	White	146-04-4982
125	Christopher Kennedy	"9664 Hernandez Knolls Apt. 173
Foxland, AL 51324"	(Decimal('34.492270'), Decimal('70.503041'))	Collins-Davis	04 Apr 2001	M	A+	White	809-30-8762
126	Danielle Chavez	"05331 Tammy Flats
South John, IA 16259"	(Decimal('-88.1194715'), Decimal('175.020503'))	Davis-Cole	2017/02/13	F	AB+	Black	693-02-7635
127	Caleb Williams	"09509 Fox Dam
Rachelland, MN 02612"	(Decimal('24.208938'), Decimal('-19.752603'))	Cole, Small and Carrillo	06 Feb 1925	M	O+	Black	730-60-9900
128	Thomas Smith	"9660 Adam Mountain
East Brandonchester, NC 12360"	(Decimal('27.108415'), Decimal('-65.193209'))	Ruiz and Sons	1985/10/04	M	AB+	blsck	789-92-0136
129	Whitney Bowers	"77876 Linda Streets
South Sarah, ID 59406"	(Decimal('12.5345635'), Decimal('-175.163835'))	Mendoza, Thompson and Bailey	1930/05/25	F	O-	Asian	277-23-6245
130	Mr. Corey Bradley	"708 Cooper View
Maddoxfurt, TN 25937"	(Decimal('-84.3037115'), Decimal('122.235472'))	Mcdowell-Oconnor	01 Jul 2016	M	O-	Indian	315-32-4208
131	Steven Porter	"75878 Robin Glen
South Susan, UT 63179"	(Decimal('-10.513126'), Decimal('-159.198437'))	Lewis, Garcia and Bowen	1929/03/25	M	AB+	White	215-84-2290
132	Michael Baker	"6920 Donald Row Apt. 192
Lake Samanthafurt, TN 30773"	(Decimal('-28.674755'), Decimal('-153.231573'))	Shaw, Armstrong and Williams	29 Mar 1921	M	B+	white	732-92-5437
133	Amy Bell	"612 Mason Mountain Apt. 087
East Robertberg, MS 76403"	(Decimal('37.855793'), Decimal('55.281957'))	Lewis LLC	10/14/1909, 00:00:00	F	A-	White	391-75-0638
134	Leah Banks	"6303 Kelly Drive Suite 599
Taylorshire, NM 21158"	(Decimal('-57.1368565'), Decimal('108.039578'))	Flowers-Craig	1915-11-15	F	B+	White	389-15-5873
135	Wendy Ramirez	"43844 Davis Lodge Apt. 190
East Anneville, LA 28000"	(Decimal('41.5780075'), Decimal('91.647800'))	Mitchell, Carlson and Webb	12/03/1923, 00:00:00	F	B+	White	797-08-1547
136	John Bolton	"0935 Arias Radial
New Kelly, GA 44479"	(Decimal('67.151420'), Decimal('-37.546178'))	Young-Sanford	09/29/1962, 00:00:00	M	O+	White	802-20-2559
137	Joshua Collier	"678 Ray Prairie
Sierraland, RI 87024"	(Decimal('6.5265405'), Decimal('-87.571979'))	Atkinson-Merritt	1982-06-28	M	O+	White	403-23-7587
138	Jacob Poole	"80471 Sarah Underpass
South Andreafurt, WV 04284"	(Decimal('89.5379585'), Decimal('96.316992'))	Case-Arnold	17 Nov 1930	M	B+	Black	463-96-3533
139	Mary Baker	"0571 Davis Squares Apt. 521
South Cory, VT 33182"	(Decimal('-28.745483'), Decimal('-21.187505'))	Smith-Peterson	2001-05-02	F	B+	White	799-26-7787
140	Taylor Nicholson	"41961 Skinner Avenue Suite 497
Lorraineville, NV 69417"	(Decimal('50.005548'), Decimal('-33.058980'))	Maxwell-Miller	1996/12/10	F	B+	Black	041-63-7148
