	hematokrit	ssn	ast	trombocyty	name	leukocyty	indicator	er-cv	alp	smoker	hemoglobin	weight	relationship	erytrocyty	etytr	hbver	alt
20	5.62592	336-24-3529	60.38389	5.51688	Amanda Fuller	6.37669	1.00000	55.51744	82.83649	Y	6.39334	30.24745	divoced	5.97411	8.54839	4.05767	0.64259
21	7.28607	660-05-1532	42.37591	8.47499	Samuel Mitchell	6.02919	1.00000	62.55754	83.83730	no	5.81784	76.08766	married	8.32102	6.58256	5.38701	1.91591
22	5.61556	151-80-8504	42.56946	5.27910	Paul Freeman	8.46807	1.00000	37.36865	79.24904	Y	5.52952	52.40062	single	5.09408	10.02936	6.43613	0.27066
23	9.17995	207-93-7101	29.27910	9.80905	Heidi Roberts	7.14681	1.00000	56.26723	44.94690	Y	8.20337	54.57666	divoced	6.65016	7.32564	7.18259	0.65593
24	6.59541	577-68-3074	49.42046	6.04815	Raymond Dunn	8.54238	0.00000	72.28236	67.52398	no	5.20720	89.83643	single	6.11075	8.06072	8.55950	0.83473
25	7.93768	717-46-9814	69.85074	8.75063	Richard Martinez	7.19696	0.00000	77.30092	27.06975	yes	8.54002	68.91391	widowed	5.81857	5.87037	7.63521	0.91391
26	7.64525	381-28-3631	55.16694	8.53160	Gabriel Brown	6.71639	0.00000	36.76650	33.06190	yes	8.53334	16.18403	single	5.99712	5.93888	5.30328	0.67649
27	10.05444	873-16-0510	39.42323	9.21776	Gina Owens	8.98632	0.00000	65.60189	15.07750	N	8.82648	76.39172	single	6.30582	7.45241	5.16794	0.76501
28	4.60104	033-18-5679	28.42392	5.01473	Heather King	6.57486	1.00000	74.74533	71.17451	Y	7.13070	75.90348	married	5.41611	8.07375	6.91801	0.77276
29	8.94013	336-83-4500	28.11606	8.24614	Jennifer Jones	6.36104	1.00000	42.63691	9.82241	Y	9.27134	48.41344	nop	8.63536	7.66831	7.16754	2.54470
30	5.85200	239-41-6023	53.75120	8.84096	Samuel Reynolds	8.00049	0.00000	27.18822	44.33863	no	4.59614	55.51923	widowed	8.47083	6.32927	5.36444	2.21223
31	7.69729	252-57-1365	30.80029	8.89604	Molly French	7.82860	1.00000	56.44065	49.15602	Y	7.79326	86.50527	divoced	6.77504	7.49031	7.01877	0.75573
32	5.00875	517-92-2083	63.15422	7.29392	Melissa Ayala	6.94808	1.00000	94.58361	73.73102	N	7.09217	78.28566	widowed	7.41733	7.05921	6.80708	1.19833
33	8.83596	536-66-7789	50.93525	6.83366	Mikayla Kidd	10.30107	1.00000	45.58196	42.08706	no	8.26620	106.61462	married	7.66571	7.79501	7.07000	
34	7.16823	468-12-8067	33.56039	6.25921	Bryce Jones	8.14138	1.00000	52.15485	83.69455	no	6.02185	110.83825	married	7.48002	6.61787	6.79935	1.19545
35	5.64067	290-50-7832	70.95229	7.34029	Joshua Stevens	7.03094	0.00000	32.78482	74.11626	no	7.00618	-3.75251	nop	4.65876	8.32800	7.06909	0.53609
36	9.22001	840-02-9543	25.08608	6.74216	Derek Taylor	8.80199	1.00000	48.42968	19.68025	no	8.97356	53.86900	divoced	9.15835	7.82790	6.47060	3.68023
37	5.61620	222-91-5905	42.31635	8.98231	Gregory Wright	6.20263	1.00000	50.07638	41.81121	Y	4.52382	85.22947	widowed	5.92457	7.46907	6.82050	0.55842
38	8.17755	478-06-4976	34.81990	8.36485	Nicholas Riggs	6.87267	1.00000	54.09793	27.33829	no	8.50168	82.55912	nop	7.98397	7.45800	7.21483	1.46819
39	8.57619	415-82-2221	46.07105	9.51013	Mary Johnson	6.40766	0.00000	46.91739	30.88059	N	8.59950	103.80602	divoced	6.49822	4.95851	6.85240	0.64696
40	8.06997	372-51-3677	44.69436	8.38181	Jaime White DDS	7.97638	0.00000	63.72816	58.71960	no	7.79063	22.70595	divoced	5.51610	7.41839	7.04227	0.56398
41	7.90907	627-53-3185	60.60707	7.69859	Kevin Osborne	6.37932	0.00000	52.94261	33.81392	N	8.30971	-1.00661	widowed	4.51013	6.02219	7.85171	0.72389
42	7.15250	418-39-5046	44.47880	6.94793	Michael Schaefer	5.35175	1.00000	31.06552	36.93913	Y	4.50742	109.07305	divoced	6.17888	6.61455	7.68009	0.63784
43	8.79070	141-78-4755	53.11471	7.79445	Elizabeth Bell	6.83474	1.00000	57.73522	13.50323	no	8.90781	41.06855	widowed	9.29451	9.09693	7.50720	4.16392
44	7.64666	001-13-9814	53.90327	4.31269	Nathan Bentley	6.26984	1.00000	52.24640	74.89939	Y	7.09336	81.55385	nop	6.58135	7.32940	7.41794	0.73136
45	4.80629	689-39-0309	41.24116	6.04362	Richard Sullivan	7.91611	1.00000	47.06726	80.95481	no	5.84323	28.00738	divoced	5.04487	6.26016	5.62885	0.69829
46	6.39717	670-43-5749	39.62810	8.52048	Lacey Berry	6.68371	0.00000	65.93377	81.78103	no	6.75859	41.52143	widowed	7.95486	6.86162	8.13902	1.26701
47	8.38686	700-53-0691	37.12906	9.97823	Elizabeth Daugherty	7.48877	0.00000	58.25916	11.54969	yes	10.12112	76.38674	divoced	5.58752	8.05241	7.04781	0.60645
48	6.84249	391-75-0638	47.95478	9.72878	Amy Bell	9.34279	1.00000	69.95703	39.01646	no	8.04412	57.97892	divoced	10.02618	8.32227	6.77060	8.00245
49	9.44639	102-04-2821	52.97486	6.85784	April Reyes	10.03863	1.00000	44.67418	20.21389	yes	8.73466	53.20977	single	8.13443	6.15001	7.68452	1.57045
50	4.67427	441-28-1430	44.46186	6.08059	Monique Gonzalez	7.82556	1.00000	47.38847	84.63389	no	5.87752	44.81329	married	5.64199	5.64706	5.62518	0.66403
51	5.31183	524-73-1705	37.77502	9.38459	Stefanie Cohen	6.84062	1.00000	35.55863	54.38634	Y	7.57833	63.79181	married	4.17708	7.63578	8.31661	0.66356
52	7.43620	159-83-8183	50.00435	8.25813	Lisa Young	6.43764	1.00000	64.13761	46.62122	no	8.00178	73.29341	divoced	8.35332	5.79707	7.96001	2.05963
53	5.65928	171-10-0824	57.32035	5.41870	Jason Chung	5.92980	1.00000	28.79496	70.24618	Y	7.33461	35.99885	single	6.53520	5.37163	7.82367	0.45493
54	6.09315	313-11-8772	43.07493	6.74351	John Williams	8.59574	1.00000	28.27996	81.70516	Y	5.71302	95.78821	married	6.38631	6.12883	6.99448	0.58009
55	6.10167	097-72-6820	55.54017	8.87022	Wayne Smith	8.57503	0.00000	67.94616	60.66319	no	4.92569	103.45393	single	7.24860	8.41890	6.36170	0.89391
56	9.53990	621-93-2680	40.16591	7.54902	Michael Wilson	6.41034	0.00000	53.68176	14.46958	yes	9.91350	129.58293	widowed	5.37718	8.30081	8.06530	0.49568
57	7.95159	674-65-3012		9.12713	Rebecca Moore	7.97571	1.00000	54.08667	20.01630	no	8.92224	30.57968	nop	7.47710	8.91504	8.83092	1.30444
58	5.00294	341-67-9837	68.02574	8.93896	Steven Gallagher	6.74532	0.00000	49.76139	19.53539	no	3.55824	-8.85292	married	5.30810	7.10713	6.98631	0.49964
59	5.82024	482-20-5412	46.06048	7.46562	Melissa Jensen	7.87250	0.00000	61.47546	78.62272	Y	6.90849	116.57279	married	4.67370	6.72300	7.15111	0.60214
60	7.70483	141-31-2832	54.55079	7.38270	Tina Perry	6.88593	0.00000	34.22558	18.21066	no	8.42483	98.94038	single	5.84993	7.46404	6.91486	0.58938
61	5.90668	668-77-7089	74.92456	8.85009	Julia Watson	8.99816	0.00000	45.43503	82.96957	no	5.77862	79.26444	separated	6.06556	6.08671	7.42646	0.79821
62	5.72347	582-81-3741	62.62018	3.06641	Wayne Rivera	7.65552	1.00000	74.57150	27.03951	yes	8.56885	76.32402	single	5.77713	6.67480	6.18552	0.54911
63	8.74036	380-33-3246	49.70653	8.90850	Timothy Brown	7.89763	1.00000	59.07603	46.72478	yes	7.80275	84.58024	single	8.56697	7.97307	7.56959	2.11601
64	6.08694	290-33-0206	38.87978	5.41227	Kimberly Thomas	5.27371	0.00000	86.00687	85.07984	no	6.25148	112.19660	divoced	5.36124	7.74674	6.35200	0.90982
65	5.05219	152-87-6240	54.84903	8.16504	James Bishop	6.27846	0.00000	36.87148	58.05342	yes	7.45074	17.31164	divoced	5.02697	7.76540	7.90954	0.55147
66	8.58946	324-07-5540	38.04181	9.38419	Stephen Martinez	7.93366	0.00000	33.08281	10.71462	no	9.09970	75.36038	married	6.27384	5.62111	6.38743	0.72200
67	7.84168	780-76-1889	46.63826	9.61455	Gregory Ortiz	7.43120	1.00000	55.26333	28.78363	no	8.38033	70.73307	divoced	10.96372	6.07895	6.25494	19.88767
68	8.35290	452-91-4020	60.43005	8.09197	John Harper	8.36932	0.00000	46.67106	5.57074	N	9.37411	69.97027	nop	4.55510	6.90976	7.27240	0.54877
69	4.99630	195-08-5708	54.80015	6.89871	Alexander Velasquez	6.80521	1.00000	55.24842	88.00882	yes	6.56847	91.42880	married	6.22364	6.56721	5.43929	0.76077
70	7.88347	815-02-4206	39.04873	7.99218	Sonya Dyer	7.46758	0.00000	45.06873	44.45325	Y	7.98884	56.17503	married	6.06586	4.88360	7.70878	0.61937
71	7.19570	736-63-3414	39.92686	8.55419	Andrew Johnson	7.51842	0.00000	57.86980	72.06873	no	7.52047	66.32647	separated	5.10765	7.01567	6.12249	0.67147
72	8.66126	122-70-0938	48.87323	9.68537	Ruth Campbell	4.77860	1.00000	73.07651	31.91592	no	8.32029	51.38580	divoced	9.09832	6.81293	7.59341	3.42310
73	6.19910	095-23-6912	66.09763	4.20210	Christopher Greene	7.51123	1.00000	72.44369	84.57218	no	5.81454	72.40711	married	4.84700	7.38308	6.55586	0.39897
74	7.70493	145-31-9669	47.01625	8.26565	Lisa Russell	6.25301	1.00000	40.71141	33.49944	Y	8.26351	90.40080	married	5.70014	7.63165	8.28072	0.82414
75	4.87564	062-10-3909	50.48121	5.89987	Sandra Smith	6.48933	1.00000	73.77985	86.71443	Y	5.65301	101.69904	single	5.01684	6.85221	7.29312	0.86084
76	9.18478	773-57-5350	46.61838	8.20690	Kaylee Snyder	8.07349	1.00000	62.52288	24.91198	no	8.57386	-21.14739	widowed	9.05758	6.12781	7.47252	3.07324
77	8.15353	833-85-7707	51.31603	7.87288	Kristin Summers	7.39151	1.00000	71.81639	15.87574	no	8.99627	53.27387	divoced	9.21264	7.76442	5.69716	3.80287
78	9.75645	763-94-0055	62.09631	8.18690	Wendy Guerrero	7.99165	0.00000	60.06974	16.99456	no	9.84127	107.90931	divoced	3.85140	7.29449	6.28213	0.19093
79	8.29855	417-47-9261	32.74934	10.55540	Cindy Cole	7.36700	1.00000	59.04666	67.16459	N	7.39786	68.83632	married	10.90370	5.67319	5.76291	18.72522
80	6.88439	332-64-9599	44.23645	4.57284	Christopher Barker	6.89962	1.00000	59.55654	92.29000	no		42.28297	married	6.25496	6.88176	9.70158	0.72411
81	3.95244	505-94-9434	37.11410	5.30418	Jennifer Arias	6.98639	1.00000	70.29890	58.07353	no	7.71694	53.67430	married	6.34872	7.38929	7.31688	0.44737
82	8.13380	380-33-3246	50.34968	7.90327	Timothy Brown	8.37719	0.00000	46.65459	39.91914	no	8.21683	57.54690	single	4.93153	7.55993	7.22481	0.65871
83	8.96123	451-88-4731	57.22183	7.89437	Mercedes Bird	5.53803	0.00000	86.76210	48.28485	Y	8.02904	119.93525	divoced	5.56835	5.18546	6.47694	0.70840
84	8.75801	714-99-3209	47.42675	5.60739	Christopher Gillespie	8.46698	1.00000	44.33820	28.54608	yes	8.52716	103.72538	married	5.91876	4.96511	6.46762	0.72060
85	9.49209	129-76-6290	63.63920	8.02447	Katelyn Gray	8.42448	1.00000	63.88162	58.79541	no	7.62349	79.25490	widowed	7.10613	5.73319	6.90059	1.04271
86	8.99408	608-12-5757	61.96705	7.67984	Chad Williams	5.71697	0.00000	49.79745	13.34499	no	8.94568	95.32988	divoced	6.16454	7.84141	7.58760	0.68800
87	6.65097	019-41-5767	47.45978	8.18087	Stephanie Wilkerson	7.56761	0.00000	49.51874	45.25229	no	4.64810	61.17127	married	6.92212	7.85549	7.31329	1.28015
88	5.73990	624-71-2719	37.50201	8.54127	Lisa Johnson	7.27942	1.00000	49.21928	34.92526	no	8.12297	66.63200	married	6.80664	6.96429	6.49930	0.85975
89	10.07058	112-31-0257	43.20846	8.39635	Christy Colon	6.57015	1.00000	54.20751	27.46195	no	8.55496	104.78283	single	7.64395	8.99753	7.85832	1.41286
90	5.60730	839-18-0607	70.97085	8.35184	Michelle Mccoy	7.35888	0.00000	47.50598	75.69302	no	5.91436	53.67952	married	6.42382	8.22639	9.79527	0.96159
91	8.85198	472-73-7108	41.26577	9.10012	Brooke Gibson	7.44649	0.00000	26.50795	16.21181	no	9.97367	105.81114	single	6.36676	7.86033	6.48737	1.08948
92	6.70342	244-81-4333	39.14955	7.56361	Christina Phillips	7.90880	0.00000	47.33023	37.44684	no	4.34643	100.57924	married	7.26129	7.48877	7.24309	0.82750
93	6.99119	308-57-5525	26.39304	7.79694	Robert Lewis	6.46869	1.00000	80.30618	40.56430	yes	8.18820	44.53961	nop	6.60722	7.57083	7.98213	0.87179
94	6.19612	405-84-2414	37.77859	9.79882	Mrs. Cassidy Harrison	5.34783	0.00000	56.96074	30.52812	Y	4.07752	68.72434	single	8.89295	5.22908	6.66988	3.02785
95	7.28286	678-71-2355	46.86544	9.22790	Jody Decker	8.44914	0.00000	39.07015	55.23312	yes	7.66150	62.24713	married	6.31385	8.54746	8.53320	0.97730
96	6.76386	248-75-9174	54.24091	4.44693	Timothy Walker	5.40450	1.00000	40.30837	40.36992	yes	7.97913	81.72846	widowed	6.89889	6.12232	7.65820	0.89580
97	6.37793	218-93-6019	67.07222	7.74416	Ashley Dominguez	5.19688	0.00000	54.26300	52.48813	yes	4.69751	71.19200	separated	7.42377	6.77643	6.97243	1.05363
98	8.29123	808-32-1093	55.70363	9.01381	Jennifer Fox	6.73313	1.00000	37.29475	22.65847	no	8.84531	57.84261	single	9.78468	7.54707	6.89083	6.51186
99	6.73398	304-95-1737	50.79103	7.27784	Lori Baker	6.18168	0.00000	51.96433	86.63058	no	5.98863	57.63292	single	4.33781	7.21016	8.52727	0.68442
100	7.47833	643-54-5728	43.43517	9.79262	James Jones	7.30031	1.00000	74.99348	70.49475	no	7.58329	96.42168	divoced	7.99246	7.31681	6.31742	1.42303
101	10.43869	277-23-6245	41.07117	5.48891	Whitney Bowers	6.93296	1.00000	58.98174	26.91181	no	8.50612	73.23473	nop	6.75983	4.37952	8.89719	0.75402
102	8.49277	813-54-2574	39.31434	8.46587	Robert Fisher	8.78700	0.00000	45.81095	40.27246	yes	7.88794	-5.34186	widowed	6.67747	5.88082	7.91185	0.76028
103	3.26357	187-73-8436	43.44688	7.51778	Amy Fox	7.58943	1.00000	91.83502	83.22597	no	6.74296	57.38600	married	5.96808	6.56617	7.29483	0.55067
104	7.56295	858-10-8741	49.47765	4.49726	Lisa Ortiz	6.18963	0.00000	20.36693	74.59631	no	5.40424	96.71886	divoced	3.81359	7.28678	5.91923	0.77656
105	6.64659	882-83-8245	64.25045	7.11339	Kristen Barnes	5.14778	1.00000	56.91502	34.62673	yes	4.35568	159.71947	divoced	5.75094	8.52953	10.11721	0.76385
106	8.11180	564-30-5266	27.05204	6.70167	Brian Richardson	6.00458	0.00000	42.15494	81.45359	yes	5.83976	67.67703	single	3.84969	8.05063	7.86774	0.58775
107	10.11518	874-35-6676	60.72733	8.02720	Theresa Rowe MD	5.85588	1.00000	71.67141	20.31753	Y	8.85995	45.43298	nop	9.47288	8.76232	6.03519	5.01709
108	6.42782	619-55-1037	51.04922	6.87788	Tiffany Hughes	5.84609	0.00000	40.68283	63.33589	no	5.08825	66.19059	married	6.48645	7.34813	6.91126	0.80737
109	8.45050	402-40-9831	58.27314	7.47242	Heidi Jordan	8.10764	0.00000	43.57596	11.01387	no	8.92451	108.91428	married	6.29424	7.55971	8.32775	0.73083
110	8.15681	238-53-4449	51.45688	8.01844	Jose Garcia	6.80237	0.00000	47.81776	58.11804	no	7.64747	16.26989	widowed	5.32677	5.00491	6.08972	0.34941
111	6.22661	570-26-1975	58.66313	8.42438	William Rice	7.28104	0.00000	41.93111	56.88769	no	4.76605	101.92582	widowed	7.50988	8.18935	8.79885	0.85115
112	8.80409	528-77-6223	70.54518	8.63632	Joseph Spencer	7.55915	0.00000	60.31682	15.91579	Y	8.91898	27.10446	separated	5.75249	5.22635	4.79703	0.62419
113	8.33685	016-55-8518	68.89839	9.32237	Tiffany Jackson	7.67827	0.00000	46.26419	25.31063	yes	8.37789	33.58324	widowed	7.02742	7.26608	7.68367	0.84966
114	6.39341	427-35-2741	49.33721	6.63789	Kelly Hahn MD	6.99757	1.00000	64.05819	85.71480	N	6.45784	99.16686	separated	7.31542	7.72545	8.62414	1.09014
115	5.12649	094-72-9610	46.79047	9.31445	Pedro Mcmahon	5.47789	1.00000	42.74609	86.96782	no	6.50022	123.42073	widowed	6.56052	5.92091	6.30653	0.92363
116	8.46030	556-86-6263	51.71234	9.68596	James Campbell	6.76285	0.00000	38.40089	8.85789	yes	9.23982	56.99064	single	7.01700	6.12631	6.72914	0.83982
117	5.36358	460-03-6341	62.37749	7.43291	Jessica Christensen	6.18241	1.00000	31.72101	88.90735	yes	5.98009	8.28074	widowed	6.48693	6.30850	7.16549	0.70610
118	7.84994	640-85-9503	34.90097	2.48654	Linda Brooks	6.28154	1.00000	32.23913	26.50607	Y	8.51627	71.71559	divoced	7.03758	8.72703	6.94163	0.95981
119	5.72849	627-62-4233	68.67579	6.57335	Bryan Lee	7.92888	0.00000	33.50490	87.80676	Y	5.59399	12.34324	nop	6.13181	7.08177	8.72104	0.81563
120	6.96026	393-91-2962	39.53927	7.66664	Timothy Summers	6.59171	0.00000	36.69083	87.72827	Y	6.12133	41.79844	separated	7.09172	7.55154	8.82175	0.89927
121	6.25250	270-70-5220	28.42566	4.53280	Chase Morgan	6.65929	1.00000	27.79140	83.27071	no	6.09321	135.97444	married	5.85914	8.36382	7.93545	0.53823
122	6.79962	537-94-5621	54.57883	6.06296	Susan Mcgee	6.10236	1.00000	42.53617	59.87976	Y	4.99975	86.48848	single	5.31952	6.45034	6.29317	0.33703
123	9.27515	160-41-9952	53.03755	9.21666	Michael Davis	10.40881	0.00000	19.75343	8.34737	Y	9.29397	76.15528	divoced	4.59702	6.98815	6.43844	0.37383
124	6.34332	204-93-8837	50.20903	8.18418	Alexander Erickson	7.87120	0.00000	42.35659	83.89992	no	5.83870	79.66730	divoced	5.14469	7.92753	6.27398	0.35942
125	8.95721	881-30-3742	69.02309	7.59285	Casey Costa	7.01758	1.00000	40.75531	3.16575	N	9.34725	65.49666	married	9.56928	7.78865	6.84969	5.29328
126	6.29268	744-51-1797	70.40691	7.77351	Hannah Berg	6.30244	0.00000	51.96748	71.40420	no	5.44820	91.55363	married	5.99053	7.89273	8.59872	0.70479
127	7.91430	181-93-5584	56.19492	2.76673	James Peters	7.85081	1.00000	50.72089	46.75220	Y	8.00313	106.12262	divoced	6.82113	6.26167	8.22886	0.85004
128	5.90134	636-51-8173	67.11398	5.05243	Charles Reese	6.27837	1.00000	53.06214	70.31064	N	5.19193	108.43345	single	4.57745	8.28822	6.95198	0.57811
129	9.34255	209-79-0095	74.75789	10.41369	Jose Banks	7.12005	0.00000	51.53893	13.75927	yes	9.89487	106.52070	married	4.94503	7.61947	6.40592	0.59678
130	9.66890	664-74-3870	54.33172	7.17559	Samantha Jackson DDS	6.49104	1.00000	46.57627	13.54515	no	9.35306	76.59288	widowed	6.74687	6.56783	6.88979	0.70453
131	2.45686	876-53-2803	41.44200	8.19447	Amy Hernandez	7.45125	0.00000	74.75951	41.87533	no	4.61448	57.19396	divoced	4.80430	7.32513	6.66189	0.53242
132	6.24748	024-01-1685	37.25516	9.87290	Crystal Holder	8.15400	0.00000	41.69156	58.24190	no	4.81975	44.48723	separated	7.21325	7.83565	8.20149	1.00577
133	7.92102	871-94-8369	50.90789	8.83788	Megan Brown	6.47953	1.00000	43.86046	69.24506	N	7.32693	60.98496	separated	8.45801	7.16313	6.38658	2.30625
134	4.47923	699-20-6429	42.66670	8.49518	Chad Bean	8.62250	0.00000	60.73585	58.39615	no	7.71179	107.14378	married	5.83368	7.87584	6.08832	0.73236
135	3.60154	624-05-5536	45.82419	6.03666	Cathy Walker	6.81232	1.00000	33.56750	87.51501	yes	6.45124	69.18245	single	4.97924	7.44647	8.12815	0.80051
136	5.35951	663-64-3931	38.21066	7.23795	Brian Snyder	8.01037	0.00000	86.32662	81.73318	no	6.74895	77.08861	divoced	5.92637	7.31633	4.92013	0.48240
137	6.68674	746-48-3161	61.91795	8.92088	Morgan Davila	8.12007	0.00000	32.11634	18.45563	yes	3.97935	41.93789	married	7.77173	8.94108	5.49502	1.10186
138	8.96131	727-58-0433	51.44250	7.89632	Christine Lynn	8.28909	1.00000	46.91397	35.38395	no	8.23103	20.42225	single	8.04263	7.37003	7.21260	1.80293
139	3.30659	457-27-2509	59.48155	10.95228	Danny Parker	7.46813	0.00000	61.45492	6.73220	no	9.98756	15.16028	married	3.94221	5.95024	7.17295	0.43669
140	8.38568	548-03-5668	45.03119	8.64111	William Sullivan	8.00446	1.00000	51.25341	10.15354	no	8.77935	71.14193	married	9.82584	7.66437	5.85167	6.86393
141	6.18346	063-54-6156	59.86084	8.43633	Michael Brown	7.82584	0.00000	51.02290	80.50973	no	5.72030	116.05057	single	5.90501	8.64544	5.15252	0.63247
142	5.67958	597-49-9311	61.68171	3.33403	Ryan Wilson	7.77386	1.00000	20.71805	62.14903	no	7.45004	39.70092	single	5.55641	8.52248	8.95530	0.81075
143	4.97889	841-11-2086	49.36625	8.71162	Rachel Lopez	8.29330	0.00000	41.18825	79.66697	no	6.89403	106.27760	single	6.28293	5.88244	6.46135	0.91550
144	9.39100	649-94-9878	48.31497	6.95441	Keith Robinson	8.13403	1.00000	58.46700	22.50950	no	8.92927	140.50592	single	10.52076	8.01471	6.11980	12.90895
145	9.29297	440-84-1152	55.33605	9.54365	Miguel Lopez	7.24701	1.00000	50.60380	83.09141	yes	6.92172	85.73889	single	8.68624	6.82234	7.03683	2.75150
146	8.92926	043-90-7471	62.95218	8.45658	Dalton Lucero	4.52197	0.00000	51.27263	18.05131	no	9.96772	49.24710	married	3.31355	8.41223	7.69441	0.76225
147	8.96855	337-58-3579	52.32418	9.71956	Melissa Moore	8.53703	1.00000	51.10654	47.02840	Y	7.90854	59.21309	nop	10.51713	6.37678	8.38370	12.85082
148	7.45522	827-34-5942	48.41603	6.13188	Richard Taylor	6.74288	1.00000	59.11591	82.47909	Y	5.91765	31.01045	nop	6.61342	8.05942	7.62814	0.82835
149	8.15554	382-73-6797	59.91317	7.88229	Alisha Oconnor	7.70380	0.00000	31.72280	24.15396	no	8.45475	8.86982	single	5.86973	5.80479	7.66291	0.50791
150	9.25875	554-75-7249	52.15903	8.01098	Mary Sawyer	5.62138	0.00000	50.30364	8.77716	N	9.20029	56.04182	divoced	6.93398	7.28613	5.62570	0.79055
151	5.43847	430-91-7417	35.84584	9.91184	Betty Hughes	6.56281	0.00000	67.38137	79.67303	Y	6.50949	83.60013	divoced	5.94003	7.05719	6.89605	0.77188
152	4.87926	278-20-4978	45.35693	7.08166	Katie Gordon	7.06915	0.00000	50.36956	42.15807	yes	8.15559	48.31334	divoced	4.24701	7.56170	5.68291	0.70207
153	6.34210	574-39-2800	24.40812	4.35450	Amy Hodge	6.44469	1.00000	50.39639	69.81564	yes	5.33641	175.97175	divoced	5.49839	6.46152	7.67487	0.75078
154	6.88999	231-72-9955	45.33884	8.59277	Lauren Anthony	7.72980	0.00000	82.10928	28.45157	no	3.89166	78.34305	divoced	7.52406	6.77852	8.59811	1.33569
155	6.98527	843-95-9289	39.63766	6.34732	Kimberly Martinez	6.13133	1.00000	54.92403	87.14940	no	5.89416	95.00695	separated	6.25903	6.65283	7.38901	0.80040
156	4.88122	443-42-3971	54.17246	7.02390	Kaitlyn Avila	6.76980	1.00000	36.86083	59.64824	yes	5.04139	31.57678	single	4.88296	8.90870	6.62256	0.63142
157	5.08721	825-91-3917	32.80966	9.88123	Derrick Lopez	7.90327	1.00000	76.93372	49.94481	no	7.86232	69.70137	widowed	7.83233	7.72710	7.64529	0.93422
